2023-08-22 00:04:18.4408|0|INFO|Program|Инициализация программы |url: |action: |Program.<Main>$| body: 
2023-08-22 00:04:18.8780|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-22 00:04:18.8780|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-22 00:04:18.8780|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-22 00:04:20.8227|0|INFO|AppleStore.Service.Implementations.DeviceService|Все девайсы добавлены в кэш |url: https://localhost/|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-22 00:04:21.9183|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-22 00:04:28.7496|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/2|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-22 00:04:28.9688|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/2|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-22 00:04:30.5394|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/Details/-1/3|action: Details|AppleStore.Controllers.Order.OrderController.Details| body: 
2023-08-22 00:04:30.8705|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/Details/-1/3|action: Details|AppleStore.Controllers.Order.OrderController.Details| body: 
2023-08-22 00:04:34.1666|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/PlaceOrder/-1/3|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
